rank,title,url,source,score,user,time,comments,id
1,Audacity 4.0,https://github.com/audacity/audacity/releases/tag/Audacity-4.0.0,github.com/audacity,373,ClydeN,2 hours ago,87,49548395
2,Elevated Errors for Multiple Models,https://status.claude.com/incidents/461yvfrzpwtt,claude.com,36,__vivek,23 minutes ago,9,49549676
3,Pre-Release of Polars 2.0,https://pola.rs/posts/announcing-polars-2/,pola.rs,267,komape,6 hours ago,78,49546753
4,The Browser's Main Thread Is Expensive,https://kciter.so/posts/the-expensive-main-thread/en/,kciter.so,220,kciter,6 hours ago,71,49522137
5,Invisible Companies,https://colossus.com/article/invisible-companies/,colossus.com,49,ltononro,3 hours ago,15,49521264
6,What I Learned from My Mom (1941-2026),https://experimentalliving.substack.com/p/what-i-learned-from-my-mom-1941-2026,experimentalliving.substack.com,104,NaOH,6 hours ago,6,49492796
7,Intrusive Linked Lists,https://www.data-structures-in-practice.com/intrusive-linked-lists/,data-structures-in-practice.com,20,tripdout,3 hours ago,3,49505257
8,Gemini 3.8 Flash and 3.8 Flash Cyber,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,blog.google,1086,bratao,22 hours ago,617,49537553
9,Muse Spark 1.3,https://developer.meta.com/ai/models/muse-spark/,meta.com,633,bvaldivielso,18 hours ago,416,49541256
10,"9 Mothers (YC P26) Is Hiring in Austin, TX",https://9mothers.com/careers,9mothers.com,,,1 hour ago,,49548864
11,"Fish Bad, Sugar Good and Other Medieval Ideas About Food",https://lithub.com/fish-bad-sugar-good-and-other-medieval-ideas-about-food/,lithub.com,47,mooreds,5 hours ago,31,49513721
12,Nvidia to Acquire Hugging Face,https://blogs.nvidia.com/blog/nvidia-to-acquire-hugging-face/,nvidia.com,70,tosh,1 hour ago,20,49548952
13,Claude for Commerce Agents,https://claude.com/blog/claude-for-commerce-agents,claude.com,29,ashazal,4 hours ago,29,49547888
