type,text,url
link,Pre-Release of Polars 2.0,https://pola.rs/posts/announcing-polars-2/
link,The Browser's Main Thread Is Expensive,https://kciter.so/posts/the-expensive-main-thread/en/
link,Muse Spark 1.3,https://developer.meta.com/ai/models/muse-spark/
link,Gemini 3.8 Flash and 3.8 Flash Cyber,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/
link,"Fish Bad, Sugar Good and Other Medieval Ideas About Food",https://lithub.com/fish-bad-sugar-good-and-other-medieval-ideas-about-food/
link,Three schoolgirls in Kinsale pulled up a pea plant covered in warts (2016),https://scienceblog.com/b-three-schoolgirls-in-kinsale-pulled-up-a-pea-plant-covered-in-warts-and-instead-of-binning-it-spent-three-years-testing-13000-seeds-in-a-spare-bedroom-the-bacteria-living-in-those-warts-made-barley/
link,What I Learned from My Mom (1941-2026),https://experimentalliving.substack.com/p/what-i-learned-from-my-mom-1941-2026
link,Google avoids a breakup of its ad tech business,https://www.nytimes.com/2026/09/02/technology/google-ad-tech-remedies.html
link,"Three sites made 215,128 “best software” pages for AI. Perplexity cites them",https://trellner.com/reports/manufactured-sources-behind-ai-recommendations/
link,Invisible Companies,https://colossus.com/article/invisible-companies/
link,Holden's Lightning Flight,https://en.wikipedia.org/wiki/Holden%27s_Lightning_flight
link,The Computer Museum of America reclamation project,https://computer-museum.org/wp/
link,Can I opt out of my input or output data being used for training?,https://help.mistral.ai/en/articles/455207-can-i-opt-out-of-my-input-or-output-data-being-used-for-training
link,Fable 5.1 World Modeling,https://github.com/PhiloLabs/fable51-worlds
link,Reverse Engineering Unknown File Formats with ImHex,https://werwolv.net/posts/file_format_reverse_engineering/
link,Higher Multipoles of the Cow,https://arxiv.org/abs/2504.00506
link,Biggest dark matter detector spots a single weird particle,https://www.science.org/content/article/world-s-biggest-dark-matter-detector-spots-single-weird-particle
link,Aging brains blend memories together instead of just forgetting them,https://studyfinds.com/aging-brains-blend-memories-together-instead-of-forgetting-them-study-finds/
link,Wendell Berry has died,https://www.nytimes.com/2026/08/31/us/wendell-berry-dead.html
link,Qantas Airbus A380 engine failure in 2010 (2023),https://admiralcloudberg.medium.com/a-matter-of-millimeters-the-story-of-qantas-flight-32-bdaa62dc98e7
link,Engineering of the fastest WebAssembly interpreters,https://wasmi-labs.github.io/blog/posts/wasmi-v2.0/
link,A dark horse enter China's AI race: StartLux,https://chinaonchina.com/article/chen-dawei-returns-enters-the-large-model-sector
link,Exit the Cave,https://turtlespace.blog/p/exit-the-cave
link,A Selection of Los Alamos Rolodex Business Cards,https://clui.org/collections/los-alamos-business-cards/selection-cards
link,Async Rust vs RTOS showdown (2022),https://tweedegolf.nl/en/blog/65/async-rust-vs-rtos-showdown/
link,Altair Basic Interpreter Source Code (1975) [pdf],https://images.gatesnotes.com/12514eb8-7b51-008e-41a9-512542cf683b/34d561c8-cf5c-4e69-af47-3782ea11482e/Original-Microsoft-Source-Code.pdf
link,We could save petabytes of cache storage with Zstandard and Pingora,https://blog.cloudflare.com/cache-transcoding/
link,Poisson Disk Sampling,https://stripeacross.com/posts/poisson-disk-sampling/
link,WebLLM: high-performance in-browser LLM inference engine,https://github.com/mlc-ai/web-llm
link,API,https://github.com/HackerNews/API
link,Legal,https://www.ycombinator.com/legal/
link,Apply to YC,https://www.ycombinator.com/apply/
